56557,Sliding Two Fingers Right
129112,Sliding Two Fingers Down
63861,Pulling Two Fingers In
131717,Sliding Two Fingers Up
60572,Stop Sign
118480,Doing other things
20706,No gesture
100344,Shaking Hand
39493,No gesture
50209,Sliding Two Fingers Down
14506,Stop Sign
90655,Sliding Two Fingers Left
108343,Sliding Two Fingers Right
15953,Sliding Two Fingers Down
110670,Pulling Two Fingers In
33632,Doing other things
28883,No gesture
95986,Doing other things
107175,Shaking Hand
37219,Stop Sign
84768,Sliding Two Fingers Left
119336,Sliding Two Fingers Left
141369,Sliding Two Fingers Up
97070,Sliding Two Fingers Left
109425,Sliding Two Fingers Up
120723,Doing other things
49506,Stop Sign
112267,Pulling Two Fingers In
12133,No gesture
123985,No gesture
63541,Stop Sign
102678,No gesture
64120,Shaking Hand
119578,Sliding Two Fingers Right
133457,Sliding Two Fingers Up
128439,Sliding Two Fingers Left
6458,Doing other things
10504,No gesture
72381,Doing other things
72772,Sliding Two Fingers Left
20263,Pulling Two Fingers In
71426,Sliding Two Fingers Down
40881,Sliding Two Fingers Down
1289,Sliding Two Fingers Left
59386,Shaking Hand
116788,Sliding Two Fingers Up
55705,Sliding Two Fingers Down
121120,Pulling Two Fingers In
100741,Sliding Two Fingers Left
142559,Sliding Two Fingers Up
114674,No gesture
114827,No gesture
117730,Pulling Two Fingers In
133108,Shaking Hand
131638,Doing other things
125641,Sliding Two Fingers Up
5137,Sliding Two Fingers Down
75590,Sliding Two Fingers Up
126147,Doing other things
43404,Doing other things
88051,No gesture
51084,No gesture
85276,Stop Sign
16841,Shaking Hand
55697,Doing other things
77724,Sliding Two Fingers Down
105163,Shaking Hand
70120,Pulling Two Fingers In
6022,No gesture
23903,No gesture
25891,Doing other things
14161,Shaking Hand
60926,Sliding Two Fingers Right
33220,No gesture
72511,Sliding Two Fingers Up
64810,Shaking Hand
104847,Sliding Two Fingers Down
110455,Sliding Two Fingers Right
75261,Pulling Two Fingers In
84384,Stop Sign
26719,Shaking Hand
11748,Stop Sign
84237,No gesture
31082,Sliding Two Fingers Right
125509,Doing other things
56683,No gesture
84901,Doing other things
8466,No gesture
91792,Pulling Two Fingers In
134801,No gesture
94725,No gesture
60289,Sliding Two Fingers Down
123453,Sliding Two Fingers Left
68138,Doing other things
22189,Sliding Two Fingers Up
84437,Sliding Two Fingers Left
63596,Shaking Hand
91419,Sliding Two Fingers Down
68933,Stop Sign
60953,Sliding Two Fingers Up
72295,Sliding Two Fingers Up
3527,Sliding Two Fingers Up
105706,Sliding Two Fingers Right
101807,Stop Sign
105959,Doing other things
835,Sliding Two Fingers Right
144993,No gesture
114831,Doing other things
143389,Sliding Two Fingers Up
25107,Sliding Two Fingers Right
101212,Sliding Two Fingers Right
22724,No gesture
41307,Doing other things
61318,Sliding Two Fingers Right
117118,Sliding Two Fingers Up
4777,Doing other things
53895,Sliding Two Fingers Left
176,Sliding Two Fingers Left
140559,Pulling Two Fingers In
57801,Shaking Hand
79950,Doing other things
24652,Sliding Two Fingers Right
63000,Doing other things
49703,Doing other things
70657,Sliding Two Fingers Left
47845,Sliding Two Fingers Down
84349,Sliding Two Fingers Down
115360,Sliding Two Fingers Up
37973,Doing other things
62890,Sliding Two Fingers Up
44711,Shaking Hand
18870,Doing other things
2340,Stop Sign
95871,Stop Sign
134856,Shaking Hand
75466,Stop Sign
86691,Doing other things
3720,Sliding Two Fingers Left
11790,Doing other things
53945,Sliding Two Fingers Left
20894,Shaking Hand
11217,Sliding Two Fingers Up
34592,Sliding Two Fingers Right
78455,Doing other things
876,Stop Sign
47572,No gesture
95740,Shaking Hand
7785,Shaking Hand
96410,Shaking Hand
130848,No gesture
29992,Doing other things
139405,Stop Sign
11332,Doing other things
14299,No gesture
100039,Sliding Two Fingers Right
92517,Sliding Two Fingers Left
42113,Doing other things
77631,Stop Sign
3094,Doing other things
37053,Shaking Hand
113916,Sliding Two Fingers Left
140869,Sliding Two Fingers Right
117454,No gesture
25912,Sliding Two Fingers Up
70911,Stop Sign
144591,Pulling Two Fingers In
81824,No gesture
16156,Doing other things
34158,Sliding Two Fingers Left
37404,Doing other things
112618,Doing other things
1422,Doing other things
132729,Sliding Two Fingers Up
141488,Sliding Two Fingers Up
100561,Pulling Two Fingers In
41450,Stop Sign
70628,Pulling Two Fingers In
131026,Shaking Hand
53217,Sliding Two Fingers Up
97089,Sliding Two Fingers Down
112624,Doing other things
79836,Sliding Two Fingers Down
9760,Doing other things
105614,Sliding Two Fingers Up
1393,No gesture
31027,Pulling Two Fingers In
21536,Pulling Two Fingers In
75476,Sliding Two Fingers Down
85850,Sliding Two Fingers Right
114473,Sliding Two Fingers Down
141072,Sliding Two Fingers Down
81599,Shaking Hand
129092,Sliding Two Fingers Down
37887,Doing other things
33934,Sliding Two Fingers Down
35970,Sliding Two Fingers Down
77675,Sliding Two Fingers Up
14959,Sliding Two Fingers Right
144504,Doing other things
91770,Doing other things
42233,Sliding Two Fingers Right
78722,Sliding Two Fingers Up
109603,Doing other things
114126,Stop Sign
102300,Pulling Two Fingers In
94634,Stop Sign
87452,Doing other things
102779,Sliding Two Fingers Right
14436,Sliding Two Fingers Up
141075,Doing other things
35235,Sliding Two Fingers Right
60055,Shaking Hand
33765,Sliding Two Fingers Down
118486,Sliding Two Fingers Down
92812,Sliding Two Fingers Down
61914,Sliding Two Fingers Up
76050,Doing other things
118724,Sliding Two Fingers Down
116967,Sliding Two Fingers Right
102426,Sliding Two Fingers Left
20768,No gesture
96069,Sliding Two Fingers Up
33856,Doing other things
1771,Sliding Two Fingers Up
11701,Doing other things
27049,Shaking Hand
25465,Sliding Two Fingers Up
2149,Shaking Hand
4437,Pulling Two Fingers In
35167,Doing other things
19287,Pulling Two Fingers In
6856,Sliding Two Fingers Left
56376,Stop Sign
14289,Sliding Two Fingers Left
122196,Sliding Two Fingers Right
60430,Pulling Two Fingers In
98114,Shaking Hand
141531,Sliding Two Fingers Up
128004,No gesture
10773,Shaking Hand
24602,Pulling Two Fingers In
49247,Sliding Two Fingers Up
40717,Stop Sign
21564,Sliding Two Fingers Left
57946,Stop Sign
28195,Doing other things
68129,Sliding Two Fingers Up
17021,Pulling Two Fingers In
82375,Doing other things
58522,Sliding Two Fingers Left
67530,Stop Sign
74775,No gesture
89526,Doing other things
2413,Shaking Hand
91524,Stop Sign
62994,Sliding Two Fingers Left
92666,Shaking Hand
8591,Sliding Two Fingers Left
57730,Sliding Two Fingers Down
11533,Doing other things
46594,Doing other things
69754,Sliding Two Fingers Up
97640,Doing other things
133038,Doing other things
112539,No gesture
65787,Sliding Two Fingers Up
104774,No gesture
1138,Sliding Two Fingers Up
47158,Sliding Two Fingers Down
18901,Shaking Hand
80494,No gesture
55871,Sliding Two Fingers Left
60193,Pulling Two Fingers In
103225,Doing other things
5818,Stop Sign
55315,No gesture
121534,Sliding Two Fingers Right
79837,Sliding Two Fingers Down
56602,Shaking Hand
32423,Pulling Two Fingers In
5897,Doing other things
37748,Sliding Two Fingers Up
120782,Stop Sign
40001,Sliding Two Fingers Down
114451,No gesture
79750,Doing other things
115640,Sliding Two Fingers Down
131483,Doing other things
88668,Sliding Two Fingers Up
49399,No gesture
146414,Sliding Two Fingers Left
31158,Sliding Two Fingers Up
80454,Sliding Two Fingers Left
142366,Sliding Two Fingers Down
25144,No gesture
90624,Shaking Hand
146803,Sliding Two Fingers Up
54191,Doing other things
121477,Doing other things
10290,Doing other things
8018,Sliding Two Fingers Up
33658,No gesture
11991,Doing other things
83215,Sliding Two Fingers Right
72521,Sliding Two Fingers Left
140001,Doing other things
22313,Sliding Two Fingers Right
2923,No gesture
31653,Pulling Two Fingers In
10509,Doing other things
17422,Sliding Two Fingers Left
67115,Stop Sign
141612,Sliding Two Fingers Up
66310,Doing other things
29401,Sliding Two Fingers Down
1657,Stop Sign
101522,Shaking Hand
73344,Sliding Two Fingers Left
109434,Pulling Two Fingers In
100606,Sliding Two Fingers Right
72030,Shaking Hand
67303,Stop Sign
33635,Shaking Hand
50298,Sliding Two Fingers Left
106087,Sliding Two Fingers Right
123336,Shaking Hand
49661,Shaking Hand
146855,No gesture
1557,Sliding Two Fingers Left
123689,Sliding Two Fingers Up
